z,gmo,dodecane,water,water_d,total
0.0,0.0,0.0,-5e-09,1e-08,-5e-09
0.5,0.0,0.0,-8e-08,1.4e-07,-8e-08
1.0,-3e-08,0.0,-6.049999999999999e-07,1.315e-06,-6.35e-07
1.5,-3.0000000000000004e-08,0.0,-6.05e-07,2.9899999999999997e-06,-6.350000000000001e-07
2.0,6.5e-08,0.0,9.450000000000001e-07,4.1e-06,1.01e-06
2.5,-9.999999999999984e-09,0.0,-9.399999999999999e-07,4.6499999999999995e-06,-9.499999999999999e-07
3.0,2.6469779601696886e-23,5e-09,-9.05e-07,5.2500000000000006e-06,-9e-07
3.5,1.3499999999999998e-07,1.5e-08,-3.999999999999962e-08,5.405000000000001e-06,1.1000000000000035e-07
4.0,1.6999999999999996e-07,4e-08,2.4999999999999972e-08,5.045e-06,2.3499999999999992e-07
4.5,1.0500000000000005e-07,8.500000000000001e-08,-5.450000000000001e-07,4.47e-06,-3.55e-07
5.0,2.150000000000001e-07,1.55e-07,-5.149999999999999e-07,3.61e-06,-1.4499999999999983e-07
5.5,4.199999999999999e-07,2.2e-07,-2.2999999999999992e-07,2.8599999999999997e-06,4.1e-07
6.0,5.499999999999998e-07,2.85e-07,-1.3499999999999987e-07,2.355e-06,7e-07
6.5,5.999999999999998e-07,3.3499999999999997e-07,-1.8999999999999998e-07,2.0000000000000003e-06,7.449999999999997e-07
7.0,6.149999999999999e-07,3.7999999999999996e-07,-1.8500000000000003e-07,1.645e-06,8.099999999999998e-07
7.5,6.650000000000002e-07,4e-07,-1.1e-07,1.3e-06,9.550000000000002e-07
8.0,6.550000000000002e-07,4.1499999999999994e-07,-7.500000000000002e-08,1e-06,9.950000000000002e-07
8.5,6.149999999999998e-07,4.55e-07,-6.500000000000004e-08,7.3e-07,1.005e-06
9.0,4.6000000000000015e-07,5.149999999999999e-07,-5.5e-08,5.450000000000001e-07,9.2e-07
9.5,4.850000000000002e-07,5.800000000000001e-07,-3.499999999999998e-08,4.0500000000000004e-07,1.0300000000000003e-06
10.0,3.949999999999999e-07,6.4e-07,-3.0000000000000004e-08,3.3e-07,1.005e-06
10.5,3.8499999999999986e-07,7.249999999999999e-07,-1.9999999999999994e-08,2.65e-07,1.0899999999999997e-06
11.0,3.0000000000000015e-07,7.95e-07,-2.0000000000000007e-08,2.1e-07,1.075e-06
11.5,2.65e-07,8.65e-07,-1.5000000000000002e-08,1.7000000000000001e-07,1.115e-06
12.0,1.9000000000000025e-07,9.3e-07,-1.5000000000000015e-08,1.45e-07,1.1050000000000002e-06
12.5,1.1500000000000014e-07,1.02e-06,-1.5000000000000002e-08,1.25e-07,1.12e-06
13.0,4.4999999999999834e-08,1.115e-06,-5.000000000000005e-09,1.15e-07,1.1549999999999997e-06
13.5,5.4999999999999725e-08,1.2e-06,-1.0000000000000004e-08,1.15e-07,1.2449999999999997e-06
14.0,1.999999999999986e-08,1.325e-06,-1.0000000000000004e-08,1.0999999999999999e-07,1.335e-06
14.5,3.500000000000022e-08,1.46e-06,-5.000000000000005e-09,1.05e-07,1.4900000000000003e-06
15.0,5.00000000000019e-09,1.5699999999999998e-06,-5.000000000000005e-09,1e-07,1.57e-06
15.5,-5.0000000000000845e-09,1.69e-06,-1.0000000000000004e-08,1e-07,1.6749999999999998e-06
16.0,-1.9999999999999994e-08,1.775e-06,-1.0000000000000004e-08,9.5e-08,1.745e-06
16.5,1.0000000000000103e-08,1.8999999999999998e-06,-5.000000000000005e-09,8.999999999999999e-08,1.905e-06
17.0,2.5e-08,1.995e-06,-1.0000000000000004e-08,8.5e-08,2.0100000000000002e-06
17.5,-4.999999999999926e-09,2.0950000000000003e-06,-4.9999999999999985e-09,8.500000000000001e-08,2.0850000000000004e-06
18.0,2.999999999999995e-08,2.205e-06,-4.9999999999999985e-09,8e-08,2.2300000000000002e-06
18.5,-1.499999999999983e-08,2.3299999999999997e-06,0.0,8e-08,2.315e-06
19.0,-2.4999999999999946e-08,2.465e-06,-9.999999999999997e-09,8e-08,2.4300000000000005e-06
19.5,-3.999999999999975e-08,2.5899999999999998e-06,-4.9999999999999985e-09,8e-08,2.545e-06
20.0,-5.000000000000013e-08,2.745e-06,-4.9999999999999985e-09,7.5e-08,2.69e-06
20.5,-4.0000000000000014e-08,2.865e-06,-9.999999999999997e-09,7.5e-08,2.815e-06
21.0,-6.000000000000003e-08,3.03e-06,-4.9999999999999985e-09,8e-08,2.965e-06
21.5,-3.999999999999975e-08,3.1500000000000003e-06,0.0,8e-08,3.1100000000000007e-06
22.0,-5.000000000000017e-08,3.29e-06,-4.9999999999999985e-09,6.999999999999999e-08,3.2349999999999995e-06
22.5,-5.000000000000008e-08,3.455e-06,-9.999999999999997e-09,6.5e-08,3.395e-06
23.0,-5.999999999999988e-08,3.555e-06,-5.000000000000002e-09,6e-08,3.49e-06
23.5,-5.5000000000000135e-08,3.715e-06,-5.000000000000002e-09,5.5e-08,3.6549999999999997e-06
24.0,-5.500000000000003e-08,3.885e-06,-1e-08,5.5e-08,3.82e-06
24.5,-5.000000000000008e-08,4e-06,-5.000000000000002e-09,5e-08,3.9449999999999995e-06
25.0,-3.500000000000001e-08,4.15e-06,-4.9999999999999985e-09,4e-08,4.1100000000000005e-06
25.5,-2.5000000000000052e-08,4.335e-06,-4.9999999999999985e-09,3.4999999999999996e-08,4.305e-06
26.0,-3.4999999999999996e-08,4.5e-06,0.0,3.0000000000000004e-08,4.4650000000000004e-06
26.5,-3.0000000000000044e-08,4.615000000000001e-06,-5e-09,2e-08,4.580000000000001e-06
27.0,-9.999999999999957e-09,4.79e-06,0.0,1.5000000000000002e-08,4.78e-06
27.5,-2.9999999999999925e-08,4.880000000000001e-06,0.0,1.5000000000000002e-08,4.850000000000001e-06
28.0,-5.000000000000005e-09,5.055e-06,0.0,1.5000000000000002e-08,5.05e-06
28.5,-2.0000000000000007e-08,5.12e-06,0.0,1e-08,5.1e-06
29.0,5.000000000000018e-09,5.225e-06,0.0,5e-09,5.23e-06
29.5,5.000000000000025e-09,5.345e-06,0.0,0.0,5.35e-06
30.0,-9.999999999999984e-09,5.48e-06,0.0,0.0,5.47e-06
30.5,-1.5000000000000035e-08,5.555e-06,0.0,0.0,5.54e-06
31.0,-4.999999999999972e-09,5.65e-06,0.0,0.0,5.645e-06
31.5,-9.999999999999967e-09,5.715e-06,0.0,0.0,5.7050000000000004e-06
32.0,-1.5000000000000022e-08,5.815e-06,0.0,0.0,5.8e-06
32.5,-2.5000000000000032e-08,5.86e-06,0.0,0.0,5.835e-06
33.0,-1.499999999999997e-08,5.91e-06,0.0,0.0,5.895e-06
33.5,-1.5000000000000015e-08,5.94e-06,0.0,0.0,5.925e-06
34.0,-1.5000000000000015e-08,6.035000000000001e-06,0.0,0.0,6.020000000000001e-06
34.5,-1.9999999999999994e-08,6.045e-06,0.0,0.0,6.025e-06
35.0,-4.999999999999979e-09,6.105e-06,0.0,0.0,6.1e-06
35.5,-1.9999999999999994e-08,6.1499999999999996e-06,0.0,0.0,6.13e-06
36.0,-5.000000000000005e-09,6.125e-06,0.0,0.0,6.12e-06
36.5,-9.999999999999984e-09,6.185e-06,0.0,0.0,6.175e-06
37.0,-1.000000000000001e-08,6.18e-06,0.0,0.0,6.17e-06
37.5,-1.000000000000001e-08,6.21e-06,0.0,0.0,6.2e-06
38.0,-1.499999999999999e-08,6.235e-06,0.0,0.0,6.22e-06
38.5,-1.5000000000000002e-08,6.24e-06,0.0,0.0,6.2250000000000005e-06
39.0,0.0,6.26e-06,0.0,0.0,6.26e-06
39.5,-9.999999999999997e-09,6.315e-06,0.0,0.0,6.305e-06
40.0,-9.999999999999997e-09,6.305000000000001e-06,0.0,0.0,6.295000000000001e-06
40.5,-5.000000000000005e-09,6.345e-06,0.0,0.0,6.34e-06
41.0,-9.999999999999997e-09,6.305e-06,0.0,0.0,6.295e-06
41.5,0.0,6.3299999999999995e-06,0.0,0.0,6.3299999999999995e-06
42.0,-4.9999999999999985e-09,6.36e-06,0.0,0.0,6.355e-06
42.5,-4.9999999999999985e-09,6.385e-06,0.0,0.0,6.38e-06
43.0,-1e-08,6.370000000000001e-06,0.0,0.0,6.360000000000001e-06
43.5,-4.9999999999999985e-09,6.37e-06,0.0,0.0,6.365e-06
44.0,0.0,6.390000000000001e-06,0.0,0.0,6.390000000000001e-06
44.5,-5e-09,6.38e-06,0.0,0.0,6.375e-06
45.0,-5e-09,6.38e-06,0.0,0.0,6.375e-06
45.5,0.0,6.445e-06,0.0,0.0,6.445e-06
46.0,0.0,6.390000000000001e-06,0.0,0.0,6.390000000000001e-06
46.5,0.0,6.4249999999999995e-06,0.0,0.0,6.4249999999999995e-06
47.0,-5e-09,6.4e-06,0.0,0.0,6.395e-06
47.5,0.0,6.46e-06,0.0,0.0,6.46e-06
48.0,0.0,6.455e-06,0.0,0.0,6.455e-06
48.5,0.0,6.38e-06,0.0,0.0,6.38e-06
49.0,0.0,6.425e-06,0.0,0.0,6.425e-06
49.5,0.0,6.42e-06,0.0,0.0,6.42e-06
50.0,0.0,6.425e-06,0.0,0.0,6.425e-06
50.5,0.0,6.4050000000000005e-06,0.0,0.0,6.4050000000000005e-06
51.0,0.0,6.390000000000001e-06,0.0,0.0,6.390000000000001e-06
51.5,0.0,6.45e-06,0.0,0.0,6.45e-06
52.0,0.0,6.46e-06,0.0,0.0,6.46e-06
52.5,0.0,6.385e-06,0.0,0.0,6.385e-06
53.0,0.0,6.465e-06,0.0,0.0,6.465e-06
53.5,0.0,6.4100000000000005e-06,0.0,0.0,6.4100000000000005e-06
54.0,0.0,6.435e-06,0.0,0.0,6.435e-06
54.5,0.0,6.42e-06,0.0,0.0,6.42e-06
55.0,0.0,6.364999999999999e-06,0.0,0.0,6.364999999999999e-06
55.5,0.0,6.45e-06,0.0,0.0,6.45e-06
56.0,0.0,6.425e-06,0.0,0.0,6.425e-06
56.5,0.0,6.435e-06,0.0,0.0,6.435e-06
57.0,0.0,6.43e-06,0.0,0.0,6.43e-06
57.5,0.0,6.385000000000001e-06,0.0,0.0,6.385000000000001e-06
58.0,0.0,6.435e-06,0.0,0.0,6.435e-06
58.5,0.0,6.405e-06,0.0,0.0,6.405e-06
59.0,0.0,6.44e-06,0.0,0.0,6.44e-06
59.5,0.0,6.35e-06,0.0,0.0,6.35e-06
60.0,0.0,6.455e-06,0.0,0.0,6.455e-06
60.5,0.0,6.42e-06,0.0,0.0,6.42e-06
61.0,0.0,6.43e-06,0.0,0.0,6.43e-06
61.5,0.0,6.385000000000001e-06,0.0,0.0,6.385000000000001e-06
62.0,0.0,6.45e-06,0.0,0.0,6.45e-06
62.5,0.0,6.425e-06,0.0,0.0,6.425e-06
63.0,0.0,6.429999999999999e-06,0.0,0.0,6.429999999999999e-06
